iter	Passed	Remaining
0	138	34416
1	140	17477
2	143	11825
3	146	9008
4	149	7307
5	151	6175
6	154	5374
7	156	4733
8	158	4257
9	162	3889
10	164	3582
11	167	3326
12	170	3105
13	173	2917
14	176	2760
15	178	2613
16	181	2487
17	183	2370
18	186	2269
19	189	2180
20	192	2097
21	194	2020
22	197	1950
23	200	1886
24	203	1828
25	205	1772
26	208	1720
27	211	1673
28	213	1625
29	216	1584
30	218	1547
31	221	1508
32	224	1474
33	226	1440
34	229	1408
35	231	1377
36	234	1348
37	236	1320
38	239	1294
39	241	1269
40	244	1245
41	246	1222
42	249	1201
43	252	1180
44	254	1159
45	257	1140
46	259	1121
47	262	1103
48	264	1085
49	267	1069
50	269	1053
51	272	1037
52	274	1021
53	277	1008
54	280	993
55	282	978
56	285	965
57	287	952
58	290	941
59	293	929
60	296	917
61	298	905
62	300	893
63	303	882
64	306	871
65	308	861
66	311	850
67	314	840
68	316	830
69	319	820
70	321	810
71	324	801
72	326	792
73	329	783
74	332	775
75	334	766
76	337	758
77	340	751
78	343	743
79	346	735
80	349	728
81	351	720
82	354	714
83	357	706
84	361	700
85	363	694
86	366	687
87	369	680
88	372	673
89	375	667
90	378	661
91	381	654
92	384	649
93	387	643
94	390	637
95	393	631
96	396	625
97	399	619
98	401	612
99	404	606
100	406	600
101	410	594
102	412	589
103	415	583
104	417	576
105	420	571
106	423	566
107	426	560
108	428	554
109	431	549
110	434	543
111	437	539
112	440	533
113	442	528
114	445	523
115	448	518
116	451	512
117	453	507
118	456	502
119	458	497
120	461	491
121	464	487
122	467	482
123	469	477
124	472	472
125	474	467
126	478	463
127	481	458
128	484	454
129	487	449
130	489	444
131	492	440
132	495	435
133	497	430
134	500	426
135	503	421
136	506	417
137	508	413
138	511	408
139	514	404
140	517	399
141	519	395
142	522	390
143	524	386
144	527	382
145	530	377
146	532	373
147	535	368
148	538	364
149	540	360
150	543	356
151	545	351
152	548	347
153	551	343
154	553	339
155	556	335
156	558	330
157	561	326
158	563	322
159	566	318
160	569	314
161	571	310
162	574	306
163	577	302
164	580	298
165	582	294
166	585	291
167	588	287
168	591	283
169	593	279
170	596	275
171	599	271
172	602	268
173	606	264
174	611	261
175	613	258
176	616	254
177	621	251
178	629	249
179	632	245
180	635	242
181	638	238
182	641	234
183	644	231
184	646	227
185	649	223
186	651	219
187	654	215
188	657	212
189	660	208
190	663	205
191	666	201
192	669	197
193	671	193
194	674	190
195	677	186
196	679	182
197	682	179
198	685	175
199	687	171
200	689	168
201	692	164
202	695	160
203	697	157
204	700	153
205	702	150
206	704	146
207	706	142
208	709	139
209	711	135
210	714	132
211	716	128
212	718	124
213	720	121
214	723	117
215	725	114
216	727	110
217	730	107
218	732	103
219	734	100
220	736	96
221	738	93
222	740	89
223	743	86
224	745	82
225	747	79
226	750	76
227	752	72
228	754	69
229	756	65
230	759	62
231	762	59
232	764	55
233	766	52
234	769	49
235	771	45
236	774	42
237	776	39
238	779	35
239	781	32
240	783	29
241	786	25
242	788	22
243	791	19
244	793	16
245	796	12
246	798	9
247	800	6
248	803	3
249	805	0
